indicator,type,lookup_executed,misp_hit,wazuh_alert,mapped_to_mitre,expected_alert_rule,mitre_technique,expected_lookup
cti-test.example.com,domain,1,1,1,1,110100,T1071.004,1
203.0.113.66,ip-dst,1,1,1,1,110203,T1071.004,1
