confidence,last_seen,observed,relationship,source,target,weight,evidence_id,evidence_origin,mapping_basis
,,1,protected_by,ASSET:A02,CONTROL:C006,1.2,EV-a270e56dbe7c1cad,canonical_edge_row_46,
,,1,uses_log_source,CONTROL:C006,LOGSOURCE:Wazuh,1.0,EV-4a7562baca94bbd3,canonical_edge_row_47,
,,1,produces_rule,CONTROL:C006,RULE:110100,1.0,EV-1e4d5ee86a9c85c5,canonical_edge_row_48,
,,1,alerted_in,RULE:110100,PLATFORM:Wazuh,1.0,EV-dce41b1b9f919f01,canonical_edge_row_49,
,,1,detects_technique,CONTROL:C006,MITRE:T1071.004,1.0,EV-3198d8356c108126,canonical_edge_row_50,
,,1,protected_by,ASSET:A01,CONTROL:C007,1.0,EV-fd038e3ee55794c3,canonical_edge_row_51,
,,1,uses_log_source,CONTROL:C007,LOGSOURCE:Sysmon,1.0,EV-f2d89dca7ff05caa,canonical_edge_row_52,
,,1,produces_rule,CONTROL:C007,RULE:110010,1.0,EV-b30684554541747d,canonical_edge_row_53,
,,1,alerted_in,RULE:110010,PLATFORM:Wazuh,1.0,EV-ca53b4886c16128b,canonical_edge_row_54,
,,1,detects_technique,CONTROL:C007,MITRE:T1087,1.0,EV-49fba4691fa92473,canonical_edge_row_55,
,,1,protected_by,ASSET:A01,CONTROL:C008,1.0,EV-25bf7935df47e6c6,canonical_edge_row_56,
,,1,uses_log_source,CONTROL:C008,LOGSOURCE:Sysmon,1.0,EV-9847f717b7bc2248,canonical_edge_row_57,
,,1,produces_rule,CONTROL:C008,RULE:110011,1.0,EV-3ea4907ccdaa3dca,canonical_edge_row_58,
,,1,alerted_in,RULE:110011,PLATFORM:Wazuh,1.0,EV-bacceac5048a8e4e,canonical_edge_row_59,
,,1,detects_technique,CONTROL:C008,MITRE:T1482,1.0,EV-2d250e9835113afd,canonical_edge_row_60,
,,1,protected_by,ASSET:A01,CONTROL:C009,0.8,EV-26a330c0c3f95c1b,canonical_edge_row_61,
,,1,uses_log_source,CONTROL:C009,LOGSOURCE:Sysmon,1.0,EV-5ffed60f568456d3,canonical_edge_row_62,
,,1,produces_rule,CONTROL:C009,RULE:110012,1.0,EV-3e9ab6b170f56fdd,canonical_edge_row_63,
,,1,alerted_in,RULE:110012,PLATFORM:Wazuh,1.0,EV-a4aef5ed89d74a8c,canonical_edge_row_64,
,,1,detects_technique,CONTROL:C009,MITRE:T1016,1.0,EV-00cf6308ef071fc1,canonical_edge_row_65,
,,1,protected_by,ASSET:A01,CONTROL:C010,1.2,EV-08b24553d8fdaf4a,canonical_edge_row_66,
,,1,uses_log_source,CONTROL:C010,LOGSOURCE:Sysmon,1.0,EV-5c6a46d6bbca1155,canonical_edge_row_67,
,,1,produces_rule,CONTROL:C010,RULE:110013,1.0,EV-ab994b5a5c2711b1,canonical_edge_row_68,
,,1,alerted_in,RULE:110013,PLATFORM:Wazuh,1.0,EV-919f2adee1989aec,canonical_edge_row_69,
,,1,detects_technique,CONTROL:C010,MITRE:T1105,1.0,EV-5b2728f883f319a9,canonical_edge_row_70,
,,1,protected_by,ASSET:A01,CONTROL:C011,0.8,EV-f87951040c4c2eca,canonical_edge_row_71,
,,1,uses_log_source,CONTROL:C011,LOGSOURCE:Sysmon,1.0,EV-047a696016acf57b,canonical_edge_row_72,
,,1,produces_rule,CONTROL:C011,RULE:110014,1.0,EV-7596c7f7ca891e87,canonical_edge_row_73,
,,1,alerted_in,RULE:110014,PLATFORM:Wazuh,1.0,EV-a8013492e4699ced,canonical_edge_row_74,
,,1,detects_technique,CONTROL:C011,MITRE:T1135,1.0,EV-338fc8f1f6c4bc93,canonical_edge_row_75,
,,1,protected_by,ASSET:A01,CONTROL:C012,0.8,EV-112fa3d2e9124905,canonical_edge_row_76,
,,1,uses_log_source,CONTROL:C012,LOGSOURCE:Sysmon,1.0,EV-f0713d8b6f2399a4,canonical_edge_row_77,
