metric,name,weight,score
LC,Log Coverage,0.3,100.0
CAC,Control / Alert Coverage,0.25,100.0
MDC,MITRE Detection Coverage,0.2,100.0
CTIC,CTI Integration Coverage,0.15,100.0
TF,Timeliness / Freshness,0.1,100.0
SACI,Overall SACI Visibility Score,1.0,100.0
