asset_id,hostname,expected_sources,received_sources,coverage_percent,criticality
A01,DC01,Security;Sysmon,,0.0,5.0
A02,WSIEM,misp_enrichment;ossec,,0.0,5.0
A03,CTI01,misp_api,,0.0,4.0
A07,FW01-PFSENSE,pfsense_syslog,,0.0,5.0
A04,WS01,PowerShell;Security;Sysmon,,0.0,4.0
A05,uhost,authlog;process;syslog,,0.0,4.0
