applicable,confidence,covered,criticality,cti_type,description,enabled,id,ip,label,role,scope,score,seen,source_weight,subtype,tactic,technique_name,type,version,weight
,,,,,Ingress tool transfer simulation observed,1,RULE:110013,,110013,,in_scope,,1,,,,,wazuh_rule,,
,,,,,Network share discovery observed,1,CONTROL:C011,,C011,,in_scope,,1,,,,,control,,
,,,,,Network share discovery observed,1,RULE:110014,,110014,,in_scope,,1,,,,,wazuh_rule,,
,,,,,Remote system discovery observed,1,CONTROL:C012,,C012,,in_scope,,1,,,,,control,,
,,,,,Network connection discovery observed,1,CONTROL:C013,,C013,,in_scope,,1,,,,,control,,
,,,,,pfSense firewall event observed,1,CONTROL:C014,,C014,,in_scope,,1,,,,,control,,
,,,,,pfSense firewall event observed,1,RULE:110200,,110200,,in_scope,,1,,,,,wazuh_rule,,
,,,,,pfSense blocked traffic observed,1,CONTROL:C015,,C015,,in_scope,,1,,,,,control,,
,,,,,pfSense blocked traffic observed,1,RULE:110201,,110201,,in_scope,,1,,,,,wazuh_rule,,
,,,,,pfSense observed CTI IOC IP traffic,1,CONTROL:C016,,C016,,in_scope,,1,,,,,control,,
,,,,,pfSense observed CTI IOC IP traffic,1,RULE:110203,,110203,,in_scope,,1,,,,,wazuh_rule,,
,,,,,Windows endpoint security logon observed,1,CONTROL:C017,,C017,,in_scope,,1,,,,,control,,
,,,,,Windows endpoint security logon observed,1,RULE:110223,,110223,,in_scope,,1,,,,,wazuh_rule,,
,,,,,Windows endpoint account discovery observed,1,CONTROL:C018,,C018,,in_scope,,1,,,,,control,,
,,,,,Windows endpoint account discovery observed,1,RULE:110220,,110220,,in_scope,,1,,,,,wazuh_rule,,
,,,,,Windows endpoint PowerShell execution observed,1,CONTROL:C019,,C019,,in_scope,,1,,,,,control,,
,,,,,Windows endpoint PowerShell execution observed,1,RULE:110222,,110222,,in_scope,,1,,,,,wazuh_rule,,
,,,,,Ubuntu SSH authentication failure observed,1,CONTROL:C020,,C020,,in_scope,,1,,,,,control,,
,,,,,Ubuntu SSH authentication failure observed,1,RULE:110230,,110230,,in_scope,,1,,,,,wazuh_rule,,
,,,,,Ubuntu syslog telemetry observed,1,CONTROL:C021,,C021,,in_scope,,1,,,,,control,,
,,,,,Ubuntu syslog telemetry observed,1,RULE:110231,,110231,,in_scope,,1,,,,,wazuh_rule,,
,,,,,Ubuntu process or network discovery telemetry observed,1,CONTROL:C022,,C022,,in_scope,,1,,,,,control,,
,,,,,Ubuntu process or network discovery telemetry observed,1,RULE:110232,,110232,,in_scope,,1,,,,,wazuh_rule,,
,,,,,Real Windows endpoint successful logon observed,1,CONTROL:C023,,C023,,in_scope,,1,,,,,control,,
,,,,,Real Windows endpoint successful logon observed,1,RULE:110240,,110240,,in_scope,,1,,,,,wazuh_rule,,
,,,,,Real Windows endpoint account discovery observed,1,CONTROL:C024,,C024,,in_scope,,1,,,,,control,,
,,,,,Real Windows endpoint account discovery observed,1,RULE:110241,,110241,,in_scope,,1,,,,,wazuh_rule,,
,,,,,Real Windows endpoint network discovery observed,1,CONTROL:C025,,C025,,in_scope,,1,,,,,control,,
,,,,,Real Windows endpoint network discovery observed,1,RULE:110242,,110242,,in_scope,,1,,,,,wazuh_rule,,
,,,,,Real Windows endpoint PowerShell execution observed,1,CONTROL:C026,,C026,,in_scope,,1,,,,,control,,
,,,,,Real Windows endpoint PowerShell execution observed,1,RULE:110243,,110243,,in_scope,,1,,,,,wazuh_rule,,
,,,,,Real Windows endpoint DNS IOC query observed,1,CONTROL:C027,,C027,,in_scope,,1,,,,,control,,
,,,,,Real Windows endpoint DNS IOC query observed,1,RULE:110244,,110244,,in_scope,,1,,,,,wazuh_rule,,
,medium,,,indicator,,,CTI:cti-test.example.com,,cti-test.example.com,,,,,,domain,,,cti_object,,
,medium,,,indicator,,,CTI:203.0.113.66,,203.0.113.66,,,,,,ip-dst,,,cti_object,,
,low,,,malware,,,CTI:test-malware-family,,test-malware-family,,,,,,synthetic,,,cti_object,,
,low,,,threat_actor,,,CTI:test-threat-actor,,test-threat-actor,,,,,,synthetic,,,cti_object,,
,low,,,campaign,,,CTI:saci-lab-campaign,,saci-lab-campaign,,,,,,synthetic,,,cti_object,,
