asset_id,hostname,expected_sources,received_sources,coverage_percent,criticality
A01,DC01,Security;Sysmon,Security;Sysmon,100.0,5.0
A02,WSIEM,ossec;misp_enrichment,ossec;misp_enrichment,100.0,5.0
A03,CTI01,misp_api,misp_api,100.0,4.0
A07,FW01-PFSENSE,pfsense_syslog,pfsense_syslog,100.0,5.0
A04,WS01,PowerShell;Security;Sysmon,Security;Sysmon,66.67,4.0
A05,uhost,authlog;syslog;process,authlog;syslog;process,100.0,4.0
